,Autor_libro,Nota_promedio_libro,Votos_libro
545,James Goldman,4.22,9674.0
546,John Dudley Ball,3.89,2593.0
547,Nyrae Dawn,3.97,37302.0
548,Richard Condon,4.09,23955.0
549,Ben Kane,4.05,2535.0
551,Marguerite Duras,3.89,5074.0
552,Stephen Clarke,3.77,2424.0
553,Tana French,3.8,106706.0
554,John Steinbeck,4.4,493971.0
555,Nora Roberts,4.01,29132.0
556,Patricia Highsmith,3.74,27797.0
558,Valentine Davies,4.07,2702.0
560,Raymond Chandler,3.96,145796.0
561,Charles R. Jackson,4.08,1898.0
563,Diana Palmer,3.95,658.0
564,Howard Pyle,4.07,62766.0
566,James McBride,4.18,57640.0
569,William Shakespeare,3.41,14382.0
571,Darius Marder,4.23,13.0
573,Lee Jackson,4.39,7639.0
574,Liane Moriarty,3.54,381751.0
575,Margot Lee Shetterly,3.97,97893.0
576,Michael Bond,4.25,3281.0
578,Emily Haynes,4.24,178.0
580,Kenneth Lonergan,3.97,130.0
581,Jean Van Hamme,3.61,545.0
582,Evie Dunmore,4.03,31980.0
583,Ed Brubaker,4.07,5269.0
584,Quentin Tarantino,4.26,491.0
585,Louisa May Alcott,4.13,2039227.0
586,Renea Mason,4.31,485.0
588,Marcel Aymé,3.86,1791.0
589,Paolo Sorrentino,4.38,73.0
590,Michael Buckley,3.86,221.0
592,Haruki Ueno,4.09,1006.0
596,Drew Daywalt,3.69,184.0
597,Giuseppe Tornatore,3.8,159.0
598,Wes Anderson,4.4,238.0
599,Cressida Cowell,4.09,16909.0
600,Michael Lewis,4.29,152272.0
601,Kanae Minato,4.06,26703.0
603,Stieg Larsson,4.16,2994497.0
605,Byanca Sastra,3.06,18.0
606,Ricardo Cortez Cruz,3.84,37.0
609,Daniel Falconer,4.55,1280.0
610,Source Wikipedia,0.0,0.0
611,Stieg Larsson,4.16,2994497.0
612,Mark L. Levine,4.18,375.0
613,Francien Regelink,3.88,1171.0
614,Vi Keeland,4.02,25844.0
615,C.C. Hunter,4.29,48819.0
618,Jude Fisher,4.61,17913.0
619,Kerstin Gier,3.68,1530.0
620,Ian McEwan,3.93,491323.0
624,Catherine Steadman,3.6,18794.0
626,Roger Hargreaves,3.98,1611.0
627,Derek McGill,4.67,6.0
628,F. Scott Fitzgerald,3.57,60141.0
631,Jane Austen,4.28,3841736.0
632,David Hill,4.28,18.0
635,J. Kenner,4.18,571.0
636,Jan Guillou,3.8,9059.0
637,Nicholas Sparks,4.13,1569171.0
638,Ernesto Che Guevara,3.78,37557.0
639,Nico Krols,4.0,1.0
642,Alexandre Dumas,4.28,853835.0
646,Pedro Almodóvar,4.03,134.0
647,Naomi Shihab Nye,3.55,697.0
648,Troy Duffy,3.88,8.0
649,Tijan,4.2,6491.0
650,Homer Hickam,4.18,20543.0
651,William Steig,3.79,5279.0
652,Stacey Lee,3.72,6423.0
654,Frederic P. Miller,4.22,50.0
655,Sally Thorne,3.96,580854.0
656,Kerry Lonsdale,3.91,24336.0
657,Scott Alexander,4.08,51.0
658,Peter Hedges,4.1,15902.0
659,J.A. Jance,4.05,8851.0
661,Kazuo Ishiguro,4.14,264662.0
662,David Sedaris,4.09,257560.0
663,John Grisham,4.06,7755.0
664,S. Yvonne,4.62,66.0
665,Kelley Puckett,3.69,146.0
667,Warren Ellis,3.91,1288.0
668,Krzysztof Kieślowski,3.9,102.0
670,Stephen King,4.2,619992.0
673,J.D. Robb,4.27,60042.0
675,Jill Wolf,3.93,14.0
676,Kirk Mitchell,3.86,162.0
680,Ann B. Ross,4.0,2014.0
681,James Kahn,4.14,1954.0
682,Alice Walker,4.25,620888.0
686,Tom Wolfe,4.22,50478.0
688,William Kotzwinkle,4.18,10934.0
689,Avery Corman,3.85,2206.0
691,Forrest Carter,4.07,683.0
695,Frederick Forsyth,4.26,130062.0
698,Julie Dawn Cole,3.44,1699.0
699,James Leo Herlihy,3.96,2482.0
700,Frederick Knott,4.11,2133.0
701,Tomie dePaola,3.57,295.0
703,George Bernard Shaw,4.26,15618.0
704,P.L. Travers,4.02,127561.0
705,Cornelius Ryan,4.32,23107.0
706,Henri-Pierre Roché,3.62,1756.0
707,David Baldacci,4.16,98954.0
709,Chie Shinohara,4.23,10771.0
710,Nicholas Harvey,4.33,203.0
711,Ernest Hemingway,3.53,29883.0
712,Tiffany Snow,4.17,2259.0
713,Carolyn Keene,3.93,5901.0
714,Amanda Quick,3.93,6247.0
715,Shyla Colt,4.23,162.0
716,Debbie Dadey,3.8,584.0
717,Jackie Urbanovic,3.88,1074.0
718,Nadine Klemens,0.0,0.0
719,Mary Wollstonecraft Shelley,3.85,1430247.0
722,Cullen Bunn,4.04,3798.0
725,Joy Vallo,4.5,2.0
726,Fredrik Backman,4.37,837542.0
729,Stephen Hawking,4.18,22040.0
730,Mark Millar,3.59,3990.0
731,John Green,4.15,4644323.0
732,Jesse Andrews,3.53,135441.0
736,Mieke Dobbels,3.5,6.0
737,Ed Brubaker,4.13,182.0
738,Bec Botefuhr,3.86,5791.0
740,Jennifer Lee,4.4,1293.0
741,Antoine de Saint-Exupéry,4.32,1861854.0
742,Barry Eisler,4.16,8242.0
743,Woody Allen,4.29,273.0
744,Kate Howard,4.2,892.0
745,Thomas Pynchon,4.0,41276.0
746,Alan Dean Foster,3.86,1332.0
747,Uzodinma Iweala,3.77,5925.0
748,Danah Boyd,3.79,2203.0
749,Jeff Parker,3.74,1358.0
750,R.S. Lively,3.89,789.0
751,Catherine Asaro,3.79,1061.0
752,Matthew Quick,3.98,155084.0
754,Scott Neustadter,3.98,1052.0
755,Alexandre Desplat,4.58,40.0
756,Hayao Miyazaki,4.41,170.0
757,Peter Morgan,4.05,514.0
758,Yasutaka Tsutsui,3.2,3053.0
760,Wendelin Van Draanen,3.98,110670.0
761,Ranmaru Kotone,3.9,480.0
766,Giles Foden,3.79,3837.0
771,Emma Chase,4.05,115462.0
773,Annie Proulx,3.97,37627.0
775,Neal Stephenson,4.03,264320.0
777,Robert Ludlum,4.11,176761.0
781,J.K. Rowling,4.57,3303695.0
782,A.J. Quinnell,4.26,3788.0
783,Neil Gaiman,4.1,613089.0
784,Helen DeWitt,4.15,7758.0
786,Wolfgang Becker,3.57,28.0
788,Tish Rabe,3.9,68.0
790,Mark Bowden,4.29,60984.0
791,Max Allan Collins,3.88,2661.0
792,Kelly Oram,4.0,14029.0
793,Melvin Burgess,3.79,1695.0
794,John Cameron Mitchell,4.25,902.0
797,Joel Coen,4.26,324.0
799,Marc Shaiman,4.5,12.0
802,Yoshihiro Togashi,4.27,1758.0
804,Guzel Yakhina,4.41,13153.0
805,Charlie Kaufman,3.96,645.0
806,Romesh Ranganathan,3.93,2101.0
807,Terry Bisson,4.05,781.0
808,Francis Veber,3.7,92.0
809,Joseph D. Pistone,4.05,7569.0
811,William Diehl,4.23,9252.0
812,William Shakespeare,4.03,872594.0
813,Frances Hodgson Burnett,4.21,294168.0
814,,,
815,James M. Cain,3.78,38862.0
817,Raymond Carver,4.11,6019.0
819,Brooke Vitale,4.52,138.0
820,Malcolm X,4.35,250128.0
821,James Fenimore Cooper,3.7,94825.0
823,David Mamet,3.88,17119.0
824,Aaron Sorkin,4.24,1219.0
825,Fannie Flagg,4.28,292421.0
826,Joel Coen,4.31,120.0
827,David Clark,3.94,551.0
828,Martin Noble,3.57,69.0
829,Luc Deflo,3.73,199.0
832,J.G. Ballard,3.98,19182.0
833,Umberto Eco,4.13,342572.0
834,Iris Johansen,3.49,477.0
835,Woody Allen,3.59,75.0
836,Angelina M. Lopez,3.86,1368.0
837,Woody Allen,4.1,42.0
838,Michael Connelly,4.18,71939.0
839,Vonda N. McIntyre,4.08,3405.0
840,Melissa de la Cruz,3.69,138651.0
841,Judith Guest,3.92,20579.0
844,Jeph Loeb,4.32,94104.0
845,Roland Topor,4.12,4169.0
846,Jacqueline Winspear,4.23,26402.0
847,John Godey,3.77,2197.0
848,Peyton Banks,4.34,414.0
849,Peter Maas,4.0,3271.0
850,Gerry Duggan,3.62,251.0
851,Katherine Howe,3.72,55440.0
854,Alistair MacLean,4.14,45060.0
855,Neil Simon,4.04,14635.0
856,Lynda La Plante,4.26,2859.0
858,Robert Bolt,3.88,13609.0
861,Ian Fleming,3.82,23087.0
863,John D. MacDonald,4.07,13618.0
864,Shelley Munro,3.94,185.0
865,Mark Waid,3.66,2080.0
866,Greg,3.55,20.0
867,Jack Finney,3.9,21226.0
868,Robert Mitchell Lindner,3.62,50.0
869,Martina Cole,4.36,6521.0
870,Kali Fajardo-Anstine,4.23,11075.0
871,Caimh McDonnell,4.48,1956.0
872,Harry Bates,3.88,302.0
873,C.S. Forester,4.02,8329.0
876,H.G. Wells,3.64,176800.0
877,J.B. Turner,3.98,3696.0
878,Jean Kwok,3.65,34297.0
879,Quentin Tarantino,3.89,14333.0
881,Tim Sullivan,3.17,95.0
883,Bruce Holsinger,3.72,35680.0
884,Christopher B. Osborne,4.2,5.0
887,Jacob Johnston,4.3,70.0
888,Jan Kerouac,3.73,327.0
889,Mel Sherratt,4.26,2239.0
890,Giles Whittell,3.83,3693.0
891,Matthew Bogart,4.18,117.0
893,Harry Hunsicker,4.11,418.0
